,DATETIME,Body of Water Name,DataContact,Lat ,LONG,Altitude (m),Maximum Depth (m),Mean Depth (m),Secchi Depth (m),Sampling Depth (m),Thermocline Depth (m),Surface Temperature (degrees celsius),Epilimnetic Temperature (degrees celsius),Total Nitrogen (ug/L),Total Phosphorus (ug/L),NO3 NO2 (mg/L),NH4 (mg/L),PO4 (ug/L),Total Chlorophyll a (ug/L),Total Chlorophyll b (ug/L),Zeaxanthin (ug/L),Diadinoxanthin (ug/L),Fucoxanthin (ug/L),Diatoxanthin (ug/L),Alloxanthin (ug/L),Peridinin (ug/L),Total Chlorophyll c2 (ug/L),Echinenone (ug/L),Lutein (ug/L),Violaxanthin (ug/L),Microcystin YR (ug/L),Microcystin dmRR (ug/L),Microcystin RR (ug/L),Microcystin dmLR (ug/L),Microcystin LR (ug/L),Microcystin LY (ug/L),Microcystin LW (ug/L),Microcystin LF (ug/L),Nodularin (ug/L),Cytotoxin Cylindrospermopsin (ug/L),Neurotoxin Anatoxin-a (ug/L)
179,2015-09-07 00:00:00,Prespa,Evanthia Mantzouki,40.9525,20.91888889,847.0,47.0,14.0,2.9,11.0,9.49,24.5,23.63,50.0,1300.0,0.009,0.03,,2.842,0.486,0.821,0.0,0.0,0.0,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2015-08-12 00:00:00,Amstelveense,Evanthia Mantzouki,52.30002778,4.840333333,0.0,2.0,,0.2,1.5,,22.51,22.46,290.0,1800.0,0.02,0.04,7.211,690.16,27.696,29.357,0.0,3.556,0.0,4.466,0.0,2.072,0.0,0.0,17.274,0.088,0.3829,1.9873,0.0569,1.4138,0.0,0.0,0.0,0.0,0.0,0.0507
181,2015-08-27 00:00:00,Empelse put,Evanthia Mantzouki,51.72298,5.337262,,31.0,11.6,7.5,5.5,6.32,20.31,20.25,110.0,300.0,0.06,,63.821,12.105,0.0,0.608,0.0,0.0,0.0,0.497,0.0,0.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,2015-08-05 00:00:00,Ertveldplas,Evanthia Mantzouki,51.70669444,5.288194444,2.0,25.0,,1.05,8.0,12.67,21.43,19.27,150.0,1300.0,1.239,0.02,49.443,33.488,2.046,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,2015-08-21 00:00:00,Geffense,Evanthia Mantzouki,51.74069444,5.496638889,6.0,18.0,,7.5,5.0,11.69,21.5,20.82,0.0,800.0,0.391,,4.319,4.292,0.0,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2015-08-25 00:00:00,Henschotermeer,Evanthia Mantzouki,52.080702,5.373029,,2.0,1.5,0.5,1.8,,,21.17,60.0,600.0,,,6.575,65.188,0.0,11.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2015-08-12 00:00:00,Kinselmeer,Evanthia Mantzouki,52.38566667,5.017111111,0.0,3.0,,0.25,1.8,1.58,22.15,21.98,870.0,2500.0,0.009,0.03,575.094,248.581,3.032,23.852,13.69,0.0,0.0,3.383,0.0,0.0,0.0,0.0,0.0,1.37,9.0768,0.0,2.0126,0.1096,0.0,0.0,0.0,0.0,0.0,0.0128
186,2015-08-12 00:00:00,Koningshoeve,Evanthia Mantzouki,51.55163889,5.120138889,11.0,14.0,,3.4,4.0,8.52,23.73,22.3,90.0,,,,,8.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0269,0.0,0.0,0.0,0.0,0.0,0.0
187,2015-08-17 00:00:00,Meerwijkplas,Evanthia Mantzouki,52.34833333,4.664083333,0.0,3.0,,0.8,2.5,,20.34,20.34,610.0,700.0,0.057,0.56,491.424,71.633,2.788,2.545,0.352,1.615,0.0,2.523,0.0,1.212,0.0,0.0,0.0,0.002,0.0,0.0,0.0028,0.0261,0.0,0.0,0.0,0.0,0.0,0.0017
188,2015-08-17 00:00:00,Molenplas,Evanthia Mantzouki,52.344,4.655111111,0.0,12.0,,2.0,5.0,5.57,20.68,20.66,410.0,1000.0,0.465,0.15,298.276,2.069,0.237,0.22,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2015-08-31 00:00:00,Nieuwe Meer,Evanthia Mantzouki,52.331641,4.820326,,31.0,14.0,,1.0,,,,300.0,1700.0,0.85,,161.363,1.392,0.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,2015-08-07 00:00:00,Put Van Drunen,Evanthia Mantzouki,51.67822222,5.113944444,3.0,15.0,,4.5,6.0,8.52,23.73,21.62,110.0,,,,6.71,3.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2015-08-28 00:00:00,Plaas aan de Reeweg,Evanthia Mantzouki,51.70391667,5.752083333,16.0,10.0,,3.75,6.5,7.59,20.98,20.53,20.0,,,,4.515,21.181,1.1,0.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0163,0.0255,0.0,0.0,0.0,0.0,0.0,0.0
192,2015-08-19 00:00:00,Sloterplas,Evanthia Mantzouki,52.36366667,4.817222222,0.0,39.0,,4.0,10.0,10.2,19.71,19.08,290.0,400.0,0.15,0.08,280.733,7.511,0.152,0.0,0.0,0.0,0.0,0.251,0.0,0.22,0.0,0.0,0.0,0.001,0.0,0.0,0.0028,0.0066,0.0,0.0,0.0,0.0,0.0,0.0
193,2015-09-02 00:00:00,Stooterplas,Evanthia Mantzouki,52.45254,4.890774,0.0,44.0,,1.7,14.0,12.74,19.26,17.79,160.0,,0.052,0.04,15.321,35.347,1.424,0.396,1.095,0.642,0.0,0.731,2.983,1.712,0.0,0.0,0.0,0.014,0.0,0.0372,0.0057,0.0435,0.0,0.0,0.0,0.0,0.0,0.0007
194,2015-08-17 00:00:00,Westbroekplas,Evanthia Mantzouki,52.42558333,4.669416667,-1.0,30.0,,0.6,8.5,8.43,19.88,18.610625,170.0,300.0,,0.08,10.565,56.348,3.896,0.439,0.0,1.636,0.0,0.486,0.431,1.086,0.0,0.0,0.0,0.002,0.095,0.0,0.0171,0.012,0.0,0.0,0.0,0.0,0.0,0.0076
195,2015-08-11 00:00:00,Wylerbergmeer,Evanthia Mantzouki,51.826224,5.944239,,6.0,3.5,1.25,4.0,,,21.72,140.0,200.0,,,6.689,18.005,1.616,1.433,0.0,1.058,0.0,0.0,0.0,0.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097,0.0013
196,2015-08-26 00:00:00,Akersvannet,Evanthia Mantzouki,59.24499167,10.32690083,16.0,8.0,,1.3,4.0,,18.9,18.79,120.0,1000.0,0.102,,8.802,17.529,0.477,0.832,0.0,0.0,0.0,0.301,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.21,0.0184,0.6356,,,,0.0,0.0,0.0
197,2015-08-12 00:00:00,Arungen,Evanthia Mantzouki,59.68997417,10.74331722,34.0,12.0,,1.2,4.0,9.94,18.55,18.35,120.0,3100.0,1.895,,10.41,6.854,1.029,0.359,0.0,0.437,0.0,0.421,0.0,0.298,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2015-08-26 00:00:00,Hillestadvannet,Evanthia Mantzouki,59.5143325,10.15597611,37.0,3.0,,0.55,2.0,2.01,18.4,18.22,240.0,600.0,,,10.942,25.818,1.591,1.914,0.457,0.0,0.0,0.388,0.0,0.0,0.0,0.0,0.0,0.374,0.2166,3.3088,0.1129,2.2819,0.0,0.0,0.0,0.0,0.0,0.0
199,2015-08-19 00:00:00,Mjaer,Evanthia Mantzouki,59.69832931,11.05206361,109.0,15.0,,1.7,4.0,12.31,18.85,18.77,200.0,800.0,0.088,,13.706,10.075,0.348,0.0,0.391,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2015-08-12 00:00:00,Ostensjovannet,Evanthia Mantzouki,59.68844944,10.82986111,107.0,6.0,,0.6,4.0,5.27,17.86,17.56,180.0,1800.0,0.716,,7.409,18.447,1.63,2.676,0.0,0.0,0.0,1.396,0.0,0.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2015-08-19 00:00:00,Saebyvannet,Evanthia Mantzouki,59.42701722,10.98318778,47.0,19.0,,1.2,4.0,8.74,18.97,18.89,270.0,1600.0,0.431,,12.287,5.548,0.386,0.226,0.271,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0605,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2015-08-31 00:00:00,Skulerudsjoen,Evanthia Mantzouki,59.66792389,11.54612917,119.0,14.0,,1.45,4.0,8.29,18.59,18.26,170.0,900.0,0.173,,10.376,6.128,0.329,0.0,0.136,0.0,0.0,0.381,0.0,0.196,0.0,0.0,0.045,0.002,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
203,2015-08-19 00:00:00,Vansjo-Storefjorden,Evanthia Mantzouki,59.39440806,10.83571972,25.0,33.0,,1.85,4.0,,19.14,19.11,20.0,1000.0,0.539,,,3.177,0.284,0.236,0.0,0.174,0.0,0.125,0.0,0.111,0.0,0.0,0.0,0.002,0.0,0.0,0.0028,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
204,2015-08-31 00:00:00,Tunevannet,Evanthia Mantzouki,59.29807833,11.08458833,40.0,10.0,,1.0,4.0,,18.08,17.98,100.0,400.0,0.011,,,11.938,0.493,0.804,0.0,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.085,0.3229,0.022,0.0543,0.0,0.0,0.0,0.0,0.0,0.0
205,2015-08-19 00:00:00,Vansjo-Vanemfjorden,Evanthia Mantzouki,59.44232083,10.75360167,25.0,16.0,,1.4,4.0,,19.61,19.55,150.0,500.0,0.074,,,13.315,0.862,0.507,0.453,0.678,0.0,0.392,0.0,0.278,0.0,0.0,0.161,0.002,0.0336,0.1177,0.0058,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
206,2015-08-12 00:00:00,Bartezek,Evanthia Mantzouki,53.83109167,19.84415,100.0,15.0,5.1,0.75,6.25,5.58,26.5,21.32,180.0,600.0,,0.05,7.73,27.85,0.846,2.225,3.292,0.324,0.0,0.685,0.0,0.462,0.0,0.0,0.171,0.249,0.3001,0.0,0.1195,0.0,0.0,0.0,0.0,0.0,0.0006,0.0
207,2015-07-22 00:00:00,Biale Sosnowickie,Evanthia Mantzouki,51.53272222,23.0425,154.0,3.0,1.3,0.23,0.7,,24.0,23.95,210.0,1800.0,0.013,0.05,11.613,119.585,25.539,10.377,0.0,2.145,0.0,1.553,0.0,0.0,0.0,0.0,0.0,0.066,0.0,2.017,0.0372,0.4328,0.0,0.0,0.0,0.0,0.0027,0.0067
208,2015-08-03 00:00:00,Bninskie,Evanthia Mantzouki,52.20016667,17.11708333,66.0,9.0,4.2,0.97,6.5,0.25,23.3,20.46,40.0,400.0,,0.05,15.016,31.736,4.872,3.829,0.603,0.0,0.0,1.177,3.127,1.907,0.0,0.0,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0
209,2015-08-02 00:00:00,Bukowieckie Dute,Evanthia Mantzouki,52.400966,15.620132,59.0,4.0,1.9,1.7,5.0,6.33,22.9,21.42,20.0,700.0,0.007,0.04,15.267,5.462,0.924,0.703,0.0,0.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0218,0.0281,0.0028,0.048,0.0,0.0,0.0,0.0,0.0,0.0
