,DATETIME,Body of Water Name,DataContact,LAT,LONG,Secchi Depth (m),Total Nitrogen (ug/L),Total Phosphorus (ug/L),Total Chlorophyll a (ug/L),Microcystin (ug/L)
57,2006-10-25 00:00:00,Wauberg,Dana Stephens,29.5301111,-82.300483,0.39624,2846.66667,141.0,161.333333,3.4225063
58,2006-12-27 00:00:00,Wauberg,Dana Stephens,29.5301111,-82.300483,0.4572,3036.66667,169.333333,123.666667,3.12971642
59,2006-02-25 00:00:00,Sampson,Dana Stephens,29.9256389,-82.190278,0.762,903.333333,36.0,13.3333333,0.11151458
60,2006-03-28 00:00:00,Sampson,Dana Stephens,29.9256389,-82.190278,0.5588,940.0,41.0,7.33333333,0.03672305
61,2006-05-21 00:00:00,Sampson,Dana Stephens,29.9256389,-82.190278,0.8636,883.333333,40.3333333,6.66666667,0.01207134
62,2006-07-29 00:00:00,Sampson,Dana Stephens,29.9256389,-82.190278,1.27,706.666667,25.0,9.0,0.04672569
63,2006-09-24 00:00:00,Sampson,Dana Stephens,29.9256389,-82.190278,1.6256,680.0,20.0,7.0,0.02666329
64,2006-11-28 00:00:00,Sampson,Dana Stephens,29.9256389,-82.190278,1.7272,533.333333,19.0,3.0,0.04732763
65,2006-06-01 00:00:00,Cliff,Dana Stephens,26.1059444,-80.131167,1.9304,610.0,22.6666667,6.0,0.02734769
66,2006-07-01 00:00:00,Cliff,Dana Stephens,26.1059444,-80.131167,0.9144,796.666667,42.0,37.0,0.03112571
67,2006-09-01 00:00:00,Cliff,Dana Stephens,26.1059444,-80.131167,1.778,873.333333,37.3333333,11.6666667,0.04912657
68,2006-11-06 00:00:00,Cliff,Dana Stephens,26.1059444,-80.131167,2.2352,760.0,29.6666667,2.66666667,0.04971993
69,2006-07-12 00:00:00,Delevoe,Dana Stephens,26.1255556,-80.174639,1.6764,553.333333,17.6666667,6.33333333,0.03231884
70,2006-05-31 00:00:00,Helen,Dana Stephens,26.1396944,-80.104028,,525.0,15.5,6.0,0.01634865
71,2006-08-31 00:00:00,Helen,Dana Stephens,26.1396944,-80.104028,,575.0,22.5,6.5,0.02346214
72,2006-07-23 00:00:00,Markham,Dana Stephens,26.13375,-80.354633,1.2192,1210.0,6.33333333,8.33333333,0.06511158
73,2006-05-31 00:00:00,North,Dana Stephens,26.1404,-80.103983,,630.0,25.5,10.0,0.0394841
74,2006-08-31 00:00:00,North,Dana Stephens,26.1404,-80.103983,,600.0,20.0,8.0,0.02407481
75,2006-07-30 00:00:00,Royal Palm,Dana Stephens,26.1080278,-80.243528,2.4384,966.666667,10.0,7.33333333,0.03268011
76,2006-05-28 00:00:00,Windermere,Dana Stephens,26.0516667,-80.174167,3.7592,303.333333,5.66666667,1.33333333,0.03246225
77,2006-01-14 00:00:00,Floral City,Dana Stephens,28.7590667,-82.282483,1.7272,920.0,20.0,10.3333333,0.06231247
78,2006-04-14 00:00:00,Floral City,Dana Stephens,28.7590667,-82.282483,1.68656,926.666667,25.6666667,10.0,0.12110694
79,2006-06-14 00:00:00,Floral City,Dana Stephens,28.7590667,-82.282483,1.3716,1040.0,29.6666667,18.0,0.1124039
80,2006-07-14 00:00:00,Floral City,Dana Stephens,28.7590667,-82.282483,1.70688,906.666667,26.0,13.6666667,0.05674144
81,2006-02-23 00:00:00,Fort Cooper,Dana Stephens,28.8044833,-82.303867,2.9464,576.666667,7.33333333,1.0,0.07348444
82,2006-04-20 00:00:00,Fort Cooper,Dana Stephens,28.8044833,-82.303867,2.8956,686.666667,7.33333333,1.33333333,0.05282435
83,2006-06-19 00:00:00,Fort Cooper,Dana Stephens,28.8044833,-82.303867,2.4384,660.0,8.33333333,1.66666667,0.05644514
84,2006-07-24 00:00:00,Fort Cooper,Dana Stephens,28.8044833,-82.303867,2.5908,733.333333,7.66666667,2.0,0.08080994
85,2006-10-20 00:00:00,Fort Cooper,Dana Stephens,28.8044833,-82.303867,,766.666667,5.66666667,3.66666667,0.04905311
86,2006-11-28 00:00:00,Fort Cooper,Dana Stephens,28.8044833,-82.303867,,713.333333,4.66666667,1.33333333,0.06001872
87,2006-01-04 00:00:00,Henderson,Dana Stephens,28.8399167,-82.316467,2.97688,683.333333,14.0,6.0,0.13203621
88,2006-03-28 00:00:00,Henderson,Dana Stephens,28.8399167,-82.316467,2.7432,646.666667,16.6666667,4.0,0.11639959
89,2006-05-19 00:00:00,Henderson,Dana Stephens,28.8399167,-82.316467,1.6256,916.666667,19.0,11.3333333,0.1463457
90,2006-07-19 00:00:00,Henderson,Dana Stephens,28.8399167,-82.316467,1.73736,880.0,17.3333333,14.6666667,0.07414355
91,2006-10-27 00:00:00,Henderson,Dana Stephens,28.8399167,-82.316467,1.524,740.0,24.5,13.3333333,0.05199639
92,2006-11-13 00:00:00,Henderson,Dana Stephens,28.8399167,-82.316467,1.6764,736.666667,20.6666667,10.3333333,0.05294469
93,2006-02-23 00:00:00,Small,Dana Stephens,28.8585,-82.288433,1.26492,980.0,26.5,2.0,0.17459603
94,2006-07-22 00:00:00,Small,Dana Stephens,28.8585,-82.288433,0.762,1215.0,31.0,15.0,0.06483442
95,2006-01-03 00:00:00,Tsala Apopka,Dana Stephens,28.8545833,-82.293217,2.21488,803.333333,10.6666667,4.33333333,0.08729986
96,2006-04-04 00:00:00,Tsala Apopka,Dana Stephens,28.8545833,-82.293217,2.1844,930.0,19.6666667,6.33333333,0.09602177
97,2006-05-04 00:00:00,Tsala Apopka,Dana Stephens,28.8545833,-82.293217,1.9304,950.0,17.3333333,5.33333333,0.01246826
98,2006-07-06 00:00:00,Tsala Apopka,Dana Stephens,28.8545833,-82.293217,1.60528,1006.66667,20.3333333,11.0,0.03987485
99,2006-09-09 00:00:00,Tsala Apopka,Dana Stephens,28.8545833,-82.293217,1.70688,1020.0,21.3333333,21.0,0.04903059
